RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
19,D. Murray,SA,@Min,125-122 W,41,7-18,3-6,5-6,14,4,1,1,2,22,42.8,16,13.75
20,M. Beasley,Min,SA,125-122 L,40,11-20,7-11,0-0,4,2,0,0,2,29,41.7,4,19
21,M. Turner,Ind,PHX,125-117 L,36,6-8,2-3,1-2,10,3,0,4,0,15,39.7,14,9
22,D. Dotson,Cle,@Mil,90-100 L,41,8-17,2-7,3-3,2,8,1,1,0,21,39.2,4,18.75
23,M. Brogdon,Ind,PHX,125-117 L,39,7-20,3-6,5-5,6,9,0,0,2,22,38.6,6,19.25
24,D. Avdija,WSH,Mia,128-124 L,32,7-15,5-9,1-1,5,5,2,0,0,20,37.4,7,17
25,B. Portis,Mil,Cle,90-100 W,33,7-11,1-2,2-3,11,3,4,0,5,17,36.7,15,6.75
26,G. Dragic,Mia,@WSH,128-124 W,20,7-10,7-9,0-0,2,5,0,0,3,21,36,2,18
27,D. Hunter,Atl,@Cha,105-113 L,34,6-12,1-3,7-7,8,1,1,2,1,20,36,11,11.5
28,T. Rozier,Cha,Atl,105-113 W,35,8-15,4-9,3-5,4,2,4,0,3,23,35.3,8,13.25
29,K. Johnson,SA,@Min,125-122 W,42,6-12,2-5,3-4,9,4,1,0,0,17,34.8,10,10.5
30,K. Olynyk,Mia,@WSH,128-124 W,32,7-15,4-11,0-0,6,5,1,1,2,18,34.6,8,13
