RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
12,J. Embiid,Phi,@Orl,116-92 W,27,7-11,1-2,6-8,9,2,0,2,0,21,39.8,11,16.25
13,D. Booker,PHX,@UTAH,106-95 W,35,10-17,1-2,4-7,3,7,0,1,6,25,38.5,4,17.25
14,T. Harris,Phi,@Orl,116-92 W,27,8-15,3-4,1-1,9,3,0,1,1,20,38.1,10,15.25
15,B. Beal,WSH,Chi,133-130 L,35,8-19,0-3,12-13,4,3,1,1,3,28,37.9,6,19.25
16,N. Vucevic,Orl,Phi,116-92 L,24,8-15,3-6,0-0,10,3,0,0,0,19,37.1,10,16
17,R. Gobert,UTAH,PHX,106-95 L,34,7-9,0-0,4-8,14,0,1,1,1,18,36.9,16,8.5
18,L. Ball,NO,@Okc,113-80 W,32,7-15,2-7,0-1,8,9,1,0,3,16,36.3,9,14
19,Z. LaVine,Chi,@WSH,133-130 W,35,6-17,1-7,9-10,6,7,0,1,3,22,36.3,7,17.25
20,D. Fox,Sac,@Hou,119-122 L,35,9-23,1-7,3-6,5,6,4,1,2,22,36.1,10,17.25
21,K. Lowry,Tor,NY,83-100 W,37,6-12,4-9,4-6,7,4,2,0,4,20,34.4,9,10.75
22,A. Horford,Okc,NO,113-80 L,24,7-9,3-5,0-0,6,3,0,0,0,17,34.1,6,14
23,B. Ingram,NO,@Okc,113-80 W,26,8-16,2-6,2-3,7,2,0,1,0,20,33.5,8,15.5
24,S. Curry,Phi,@Orl,116-92 W,25,7-12,5-7,2-2,1,3,1,0,1,21,32.5,2,16.75
25,J. Randle,NY,@Tor,83-100 L,38,5-12,0-4,6-7,10,5,0,1,3,16,32.4,11,8.5
26,M. Turner,Ind,Cle,99-119 W,33,5-9,0-4,4-4,7,2,4,1,0,14,32,12,7.75
27,D. Mitchell,UTAH,PHX,106-95 L,36,9-23,3-8,2-2,6,3,1,0,3,23,31.9,7,14
28,B. Simmons,Phi,@Orl,116-92 W,25,3-7,1-1,2-2,10,8,2,0,2,9,31.6,12,8.75
29,D. Garland,Cle,@Ind,99-119 L,38,8-14,5-7,0-0,2,5,0,0,6,21,31.5,2,10.5
30,S. Adams,NO,@Okc,113-80 W,31,7-13,0-0,0-0,10,2,1,1,0,14,31.4,12,8.25
1,D. Lillard,Por,@GS,123-98 W,35,11-21,6-10,6-6,4,8,1,0,1,34,57,5,32.25
